MODULE	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	sample_ids	p_wild_imp	N_wild_imp	p_biobest_imp	N_biobest_imp	p_rufocinctus	N_rufocinctus	p_kopper_imp	N_kopper_imp	p_vagans	N_vagans	p_ternarius	N_ternarius
Fatty acid biosynthesis, initiation	8.980940679594624	0.10982678923893945	0.2421181490040256	wild_imp,biobest_imp,rufocinctus,kopper_imp,vagans	M00082	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2,Bt_CM_1,Bt_ML_2	1	12	1	6	1	6	1	6	1	5	0.75	4
Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H	8.980940679594624	0.10982678923893945	0.2421181490040256	wild_imp,biobest_imp,rufocinctus,kopper_imp,vagans	M00881	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_BP_1,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2,Bt_CM_1,Bt_ML_2	1	12	1	6	1	6	1	6	1	5	0.75	4
D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	8.842336353647656	0.11552050653047438	0.24901086963235589	wild_imp,rufocinctus,kopper_imp	M00631	Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Br_CM_1,Br_ML_2	0.4166666666666667	12	0	6	0.3333333333333333	6	0.5	6	0	5	0	4
Ascorbate degradation, ascorbate => D-xylulose-5P	8.2730255615276	0.14181672890523095	0.299048319647987	biobest_imp,kopper_imp,vagans	M00550	Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Br_FG_1,Br_FG_2,Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BB1_1,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_BB1_2,Bi_KP2_1,Bi_KP2_2,Bi_CM_2,Bi_PI_1,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_KP3_1,Br_ML_2	0.8333333333333334	12	1	6	0.6666666666666666	6	1	6	1	5	0.5	4
C5 isoprenoid biosynthesis, non-mevalonate pathway	5.64511276709825	0.3422959367402687	0.6917230388292931	wild_imp,biobest_imp,kopper_imp,vagans,ternarius	M00096	Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Br_FG_1,Br_FG_2,Bi_BP_1,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Bv_BP_2,Bv_PI_2,Br_ML_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bt_ML_1,Br_ML_2	1	12	1	6	0.8333333333333334	6	1	6	1	5	1	4
De novo purine biosynthesis, PRPP + glutamine => IMP	5.64511276709825	0.3422959367402687	0.6917230388292931	wild_imp,biobest_imp,kopper_imp,vagans,ternarius	M00048	Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Br_FG_1,Br_FG_2,Bi_BP_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_CM_2,Bi_FG_2,Bi_PI_1,Bi_PI_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_KP3_2,Bi_FG_1,Bi_MB_1,Bv_BP_2,Bv_PI_2,Br_ML_1,Bt_MB_2,Bv_ML_1,Bv_PI_1,Bi_BB3_1,Bt_CM_1,Bt_ML_2,Bv_ML_2,Bt_ML_1,Br_ML_2	1	12	1	6	0.8333333333333334	6	1	6	1	5	1	4
Thiamine salvage pathway, HMP/HET => TMP	5.502243998978045	0.3576998809589205	0.7080997643472509	biobest_imp,kopper_imp,vagans,ternarius	M00899	Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Br_FG_1,Br_FG_2,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BB1_1,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_1,Br_ML_1,Bt_MB_2,Bi_KP2_2,Bv_BP_2,Bv_ML_1,Bv_PI_1,Bi_BP_1,Bi_CM_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_2,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bv_ML_2,Bv_PI_2,Br_ML_2	0.75	12	1	6	0.8333333333333334	6	1	6	1	5	1	4
Nucleotide sugar biosynthesis, glucose => UDP-glucose	4.743244394318144	0.448011495487591	0.8357137511980063	biobest_imp,rufocinctus,kopper_imp,vagans,ternarius	M00549	Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Br_FG_1,Br_FG_2,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_CM_2,Bi_PI_1,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Br_CM_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_PI_1,Bv_ML_1,Bt_CM_1,Bt_MB_2,Bt_ML_1,Bt_ML_2,Bi_BB3_1,Bi_BP_1,Bv_ML_2,Bv_PI_2,Bi_FG_1	0.8333333333333334	12	1	6	1	6	1	6	1	5	1	4
Serine biosynthesis, glycerate-3P => serine	4.743244394318144	0.448011495487591	0.8357137511980063	biobest_imp,rufocinctus,kopper_imp,vagans,ternarius	M00020	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_CM_2,Bi_PI_1,Bi_BP_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_FG_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_KP3_2,Bt_MB_2,Bt_ML_1	0.8333333333333334	12	1	6	1	6	1	6	1	5	1	4
dTDP-L-rhamnose biosynthesis	4.743244394318144	0.448011495487591	0.8357137511980063	biobest_imp,rufocinctus,kopper_imp,vagans,ternarius	M00793	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_PI_1,Bt_MB_2,Bi_KP2_2,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB3_1,Bi_BB3_2,Bi_FG_1,Bi_KP2_1,Bi_BB2_1,Bi_BB2_2	0.8333333333333334	12	1	6	1	6	1	6	1	5	1	4
Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	3.7916666994387462	0.5797836119554003	1	biobest_imp,kopper_imp,vagans	M00024	Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Br_FG_1,Br_FG_2,Bi_PI_1,Br_ML_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_BP_1,Bi_CM_2,Bi_FG_1,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Br_ML_2	0.9166666666666666	12	1	6	0.8333333333333334	6	1	6	1	5	0.75	4
Tyrosine biosynthesis, chorismate => HPP => tyrosine	3.7916666994387462	0.5797836119554003	1	biobest_imp,kopper_imp,vagans	M00025	Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Br_FG_1,Br_FG_2,Bi_PI_1,Br_ML_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_CM_2,Bi_FG_1,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_BP_1,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Br_ML_2	0.9166666666666666	12	1	6	0.8333333333333334	6	1	6	1	5	0.75	4
Arginine biosynthesis, ornithine => arginine	3.030405755470413	0.6952979862540604	1	biobest_imp,kopper_imp,vagans,ternarius	M00844	Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Br_FG_1,Br_FG_2,Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_CM_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Br_ML_1,Bt_MB_2,Bv_BP_2,Bv_ML_1,Bv_PI_1,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_BB3_1,Bi_FG_1,Bv_ML_2,Bv_PI_2,Br_ML_2	0.9166666666666666	12	1	6	0.8333333333333334	6	1	6	1	5	1	4
Proline biosynthesis, glutamate => proline	3.030405755470413	0.6952979862540604	1	rufocinctus,kopper_imp,vagans,ternarius	M00015	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_FG_1,Bi_MB_1,Bt_MB_2,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_BB3_1,Bi_BP_1	0.9166666666666666	12	0.8333333333333334	6	1	6	1	6	1	5	1	4
Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	2.309254987288764	0.8049066101539497	1	biobest_imp,rufocinctus,kopper_imp,vagans,ternarius	M00632	Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_BP_2,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_BB3_1,Bi_CM_1,Bi_ML_2,Br_CM_1,Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_PI_1,Bt_CM_1,Bt_MB_2,Bt_ML_1,Bt_ML_2,Bv_ML_1,Bv_ML_2,Bv_PI_2,Bi_FG_1	0.9166666666666666	12	1	6	1	6	1	6	1	5	1	4
Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	2.309254987288764	0.8049066101539497	1	biobest_imp,rufocinctus,kopper_imp,vagans,ternarius	M00926	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_CM_2,Bi_FG_1,Bi_PI_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bt_ML_1	0.9166666666666666	12	1	6	1	6	1	6	1	5	1	4
Histidine biosynthesis, PRPP => histidine	2.309254987288764	0.8049066101539497	1	biobest_imp,rufocinctus,kopper_imp,vagans,ternarius	M00026	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_PI_1,Bt_MB_2,Bi_KP2_2,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB3_1,Bi_BB3_2,Bi_FG_1,Bi_KP2_1,Bi_BB2_1,Bi_BB2_2,Bi_PI_2	0.9166666666666666	12	1	6	1	6	1	6	1	5	1	4
KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	2.309254987288764	0.8049066101539497	1	biobest_imp,rufocinctus,kopper_imp,vagans,ternarius	M00866	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_CM_2,Bi_FG_1,Bi_PI_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bt_ML_1	0.9166666666666666	12	1	6	1	6	1	6	1	5	1	4
Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	2.309254987288764	0.8049066101539497	1	biobest_imp,rufocinctus,kopper_imp,vagans,ternarius	M00432	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_BP_1,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_FG_1,Bt_MB_2,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_BB3_1	0.9166666666666666	12	1	6	1	6	1	6	1	5	1	4
Methionine biosynthesis, aspartate => homoserine => methionine	2.309254987288764	0.8049066101539497	1	biobest_imp,rufocinctus,kopper_imp,vagans,ternarius	M00017	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_BP_1,Bi_BB3_1,Bi_FG_1,Bt_MB_2,Bt_CM_1,Bt_ML_2,Bt_ML_1	0.9166666666666666	12	1	6	1	6	1	6	1	5	1	4
Nucleotide sugar biosynthesis, galactose => UDP-galactose	2.309254987288764	0.8049066101539497	1	biobest_imp,rufocinctus,kopper_imp,vagans,ternarius	M00554	Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_BP_2,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_CM_1,Bi_ML_2,Br_CM_1,Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_PI_1,Bt_CM_1,Bt_MB_2,Bt_ML_1,Bt_ML_2,Bi_BB3_1,Bi_BP_1,Bv_ML_1,Bv_ML_2,Bv_PI_2,Bi_FG_1	0.9166666666666666	12	1	6	1	6	1	6	1	5	1	4
Ornithine biosynthesis, glutamate => ornithine	2.309254987288764	0.8049066101539497	1	biobest_imp,rufocinctus,kopper_imp,vagans,ternarius	M00028	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bt_MB_2,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_BB3_1,Bi_BP_1,Bi_FG_1	0.9166666666666666	12	1	6	1	6	1	6	1	5	1	4
Pentose phosphate pathway (Pentose phosphate cycle)	2.309254987288764	0.8049066101539497	1	biobest_imp,rufocinctus,kopper_imp,vagans,ternarius	M00004	Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Br_FG_1,Br_FG_2,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_CM_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_FG_1,Bv_BP_2,Bv_PI_2,Bi_BB3_1,Br_CM_2,Br_ML_1,Br_ML_2,Bv_PI_1,Bt_CM_1,Bt_MB_2,Bt_ML_1,Bt_ML_2,Bi_BP_1,Bv_ML_1,Bv_ML_2	0.9166666666666666	12	1	6	1	6	1	6	1	5	1	4
Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	2.309254987288764	0.8049066101539497	1	biobest_imp,rufocinctus,kopper_imp,vagans,ternarius	M00007	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_FG_1,Bi_BB3_1,Bt_MB_2,Bt_CM_1,Bt_ML_1,Bt_ML_2,Bi_BP_1	0.9166666666666666	12	1	6	1	6	1	6	1	5	1	4
Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	2.309254987288764	0.8049066101539497	1	biobest_imp,rufocinctus,kopper_imp,vagans,ternarius	M00916	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_CM_2,Bi_MB_1,Bi_PI_1,Bi_BP_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_FG_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_KP3_2,Bt_MB_2,Bt_ML_1	0.9166666666666666	12	1	6	1	6	1	6	1	5	1	4
Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	2.309254987288764	0.8049066101539497	1	biobest_imp,rufocinctus,kopper_imp,vagans,ternarius	M00125	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_CM_2,Bi_FG_1,Bi_PI_1,Bi_BB1_1,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_BP_1,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bt_ML_1	0.9166666666666666	12	1	6	1	6	1	6	1	5	1	4
Siroheme biosynthesis, glutamyl-tRNA => siroheme	2.309254987288764	0.8049066101539497	1	biobest_imp,rufocinctus,kopper_imp,vagans,ternarius	M00846	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_CM_2,Bi_FG_1,Bi_PI_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_BP_1,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bt_ML_1	0.9166666666666666	12	1	6	1	6	1	6	1	5	1	4
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	8.821696058322533e-42	1	1	NA	M00049	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_BB3_1,Bi_FG_1,Bi_MB_1,Bt_MB_2,Bt_CM_1,Bt_ML_1,Bt_ML_2	1	12	1	6	1	6	1	6	1	5	1	4
Coenzyme A biosynthesis, pantothenate => CoA	8.821696058322533e-42	1	1	NA	M00120	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB3_2,Bi_BB2_2,Bi_BB3_1,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bt_ML_1	1	12	1	6	1	6	1	6	1	5	1	4
Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	8.821696058322533e-42	1	1	NA	M00053	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_1,Bi_BP_2,Bi_CM_1,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Br_CM_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_FG_2,Bi_KP2_1,Bi_KP3_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bt_ML_1	1	12	1	6	1	6	1	6	1	5	1	4
F-type ATPase, prokaryotes and chloroplasts	8.821696058322533e-42	1	1	NA	M00157	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1,Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_CM_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_BB3_1,Bi_FG_1,Bi_MB_1,Bt_MB_2,Bt_CM_1,Bt_ML_1,Bt_ML_2	1	12	1	6	1	6	1	6	1	5	1	4
